AZ_SCRIPT,ALT_SCRIPT,ALT,AZ,HA,RA,DEC,LST,ETIQUETA,TIME,
15,65,1.129413099,0.3000316919,-0.1128518338,1.34314302,0.03009086614,4:41:58,842,4/24/2016 14:31:36,352
15,85,1.474636029,0.4870914056,-0.02637729396,1.26419285,-0.3084172019,4:43:41,824,4/24/2016 14:33:19,316
25,25,0.4322210937,0.4456093902,-0.5014268914,1.746502186,0.6391336581,4:45:21,857,4/24/2016 14:34:59,22
25,45,0.7783884123,0.4576169503,-0.324751508,1.576470285,0.3267226953,4:46:52,856,4/24/2016 14:36:30,20
25,65,1.124655562,0.4849487058,-0.1827698894,1.440933584,0.006664464698,4:48:21,846,4/24/2016 14:37:58,0
25,85,1.469382433,0.6708279486,-0.04143106493,1.305109058,-0.3135239911,4:49:37,822,4/24/2016 14:39:14,312
35,25,0.428857735,0.6230451315,-0.6599561434,1.93134482,0.5507085492,4:51:23,864,4/24/2016 14:40:59,36
35,45,0.7750581256,0.6336238704,-0.4376141036,1.713756218,0.2669635523,4:52:28,860,4/24/2016 14:42:05,28
35,65,1.121061966,0.6580653341,-0.2481183173,1.529552029,-0.02750289602,4:53:41,853,4/24/2016 14:43:17,14
35,85,1.479074663,0.6668285786,-0.05541072614,1.342410437,-0.3209680946,4:54:58,824,4/24/2016 14:44:34,316
45,25,0.427473625,0.7969658398,-0.7924549019,2.085872695,0.4436769449,4:56:26,870,4/24/2016 14:46:02,48
45,45,0.7724712641,0.8071247375,-0.537883779,1.836827684,0.1916035271,4:57:42,871,4/24/2016 14:47:17,50
45,65,1.117325328,0.8300489191,-0.3073254463,1.612366435,-0.07142745792,4:59:06,857,4/24/2016 14:48:41,22
45,85,1.477339349,0.8438028741,-0.06781511695,1.378360195,-0.3305460533,5:00:21,823,4/24/2016 14:49:56,314
55,25,0.4250276753,0.9718581601,-0.9024846642,2.219657181,0.3228575633,5:01:52,876,4/24/2016 14:51:27,60
55,45,0.7686472081,0.9817549374,-0.6248998917,1.948484804,0.10323287,5:03:21,874,4/24/2016 14:52:55,56
55,65,1.113495996,1.000832156,-0.3592634659,1.688224417,-0.1239284394,5:04:35,863,4/24/2016 14:54:09,34
55,85,1.474809028,1.019826866,-0.07839886939,1.413261549,-0.3419880929,5:05:56,825,4/24/2016 14:55:30,318
65,25,0.4218020791,1.146973699,-0.9942066456,2.336028702,0.1919138848,5:07:31,882,4/24/2016 14:57:05,72
65,45,0.7648776484,1.155351807,-0.6987232862,2.04687417,0.004308161538,5:08:58,881,4/24/2016 14:58:32,70
65,65,1.127913011,1.145466841,-0.4029330295,1.756409856,-0.1836752767,5:10:12,869,4/24/2016 14:59:45,46
65,85,1.472442781,1.186489033,-0.0868207122,1.445618231,-0.3549704342,5:11:25,821,4/24/2016 15:00:58,310
75,25,0.4187418881,1.321606043,-1.071344891,2.437680489,0.05351542932,5:13:08,888,4/24/2016 15:02:42,84
